id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,latitude,longitude,regional,delegacia,uop
317430,2020-10-26,segunda-feira,18:00:00,MA,222,574,BOM JESUS DAS SELVAS,Falta de Atenção à Condução,Colisão com objeto estático,Sem Vítimas,Anoitecer,Crescente,Ignorado,Simples,Curva,Não,2,0,0,0,2,0,0,1,-4.450505,-46.84355,SR-MA,UOP03,DEL04
317464,2020-10-27,terça-feira,15:20:00,MA,316,572.9,CAXIAS,Falta de Atenção à Condução,Colisão transversal,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,Não,3,0,1,1,1,0,2,2,-4.929112,-43.184189,SR-MA,UOP02,DEL03
317471,2020-10-27,terça-feira,16:30:00,MA,135,345,PRESIDENTE DUTRA,Desobediência às normas de trânsito pelo condutor,Colisão transversal,Com Vítimas Feridas,Pleno dia,Crescente,Sol,Simples,Reta,Não,2,0,0,1,1,0,1,2,-5.33114598,-44.47887894,SR-MA,UOP01,DEL03
317472,2020-10-27,terça-feira,16:00:00,MA,316,611,TIMON,Desobediência às normas de trânsito pelo condutor,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Reta,Não,3,0,2,0,1,0,2,2,-5.072684,-42.868118,SR-MA,UOP02,DEL03
317478,2020-10-27,terça-feira,12:35:00,MA,316,620,TIMON,Falta de Atenção à Condução,Colisão transversal,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Reta,Sim,2,0,1,0,1,0,1,2,-5.12834,-42.821602,SR-MA,UOP02,DEL03
317514,2020-10-27,terça-feira,23:30:00,MA,316,497.8,CODO,Ingestão de Álcool,Saída de leito carroçável,Sem Vítimas,Plena Noite,Crescente,Céu Claro,Simples,Reta,Não,1,0,0,0,1,0,0,1,-4.700426,-43.787941,SR-MA,UOP02,DEL03
317580,2020-10-27,terça-feira,22:30:00,MA,135,167,SAO MATEUS DO MARANHAO,Defeito Mecânico no Veículo,Saída de leito carroçável,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Simples,Reta,Não,1,0,1,0,0,0,1,1,-3.90481293,-44.48041583,SR-MA,UOP02,DEL01
317599,2020-10-28,quarta-feira,11:10:00,MA,230,412,BALSAS,Defeito Mecânico no Veículo,Saída de leito carroçável,Com Vítimas Fatais,Pleno dia,Crescente,Céu Claro,Simples,Não Informado,Não,3,1,1,0,0,1,1,1,-7.50395783,-46.10998895,SR-MA,UOP01,DEL05
317676,2020-10-28,quarta-feira,17:45:00,MA,316,553,CAXIAS,Ingestão de Álcool,Colisão transversal,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Simples,Rotatória,Sim,2,0,1,0,1,0,1,2,-4.877648,-43.338158,SR-MA,UOP02,DEL03
317733,2020-10-29,quinta-feira,05:20:00,MA,316,21.7,BOA VISTA DO GURUPI,Condutor Dormindo,Tombamento,Com Vítimas Feridas,Amanhecer,Crescente,Céu Claro,Simples,Reta,Não,1,0,0,1,0,0,1,1,-1.813458,-46.145168,SR-MA,UOP02,DEL02
317851,2020-10-29,quinta-feira,17:20:00,MA,316,506.3,CODO,Defeito Mecânico no Veículo,Colisão com objeto em movimento,Sem Vítimas,Pleno dia,Crescente,Céu Claro,Simples,Não Informado,Não,3,0,0,0,2,1,0,2,-4.72633341,-43.72056769,SR-MA,UOP02,DEL03
317882,2020-10-29,quinta-feira,20:00:00,MA,316,482,CODO,Deficiência ou não Acionamento do Sistema de Iluminação/Sinalização do Veículo,Colisão traseira,Sem Vítimas,Plena Noite,Decrescente,Céu Claro,Simples,Ponte,Não,3,0,0,0,3,0,0,3,-4.61974971,-43.85307884,SR-MA,UOP02,DEL03
317912,2020-10-27,terça-feira,06:40:00,MA,10,302.6,ACAILANDIA,Falta de Atenção à Condução,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Curva,Não,1,0,1,0,0,0,1,1,-5.096301,-47.554436,SR-MA,UOP03,DEL04
317994,2020-10-30,sexta-feira,12:30:00,MA,222,675.5,ACAILANDIA,Não guardar distância de segurança,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Nublado,Simples,Reta,Sim,3,0,1,0,2,0,1,2,-4.93859094,-47.46131504,SR-MA,UOP03,DEL04
318001,2020-10-30,sexta-feira,11:10:00,MA,135,1,SAO LUIS,Falta de Atenção à Condução,Colisão transversal,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Reta,Sim,2,0,1,0,1,0,1,2,-2.58917895,-44.24423719,SR-MA,UOP01,DEL01
318079,2020-10-30,sexta-feira,19:40:00,MA,10,348,ACAILANDIA,Não guardar distância de segurança,Colisão traseira,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Simples,Não Informado,Não,3,0,0,1,2,0,1,2,-4.73474,-47.495599,SR-MA,UOP03,DEL04
318132,2020-10-30,sexta-feira,16:00:00,MA,316,490.3,CODO,Pista Escorregadia,Saída de leito carroçável,Sem Vítimas,Pleno dia,Decrescente,Céu Claro,Simples,Curva,Não,3,0,0,0,3,0,0,2,-4.661927,-43.837505,SR-MA,UOP02,DEL03
318273,2020-10-31,sábado,12:20:00,MA,135,2,SAO LUIS,Desobediência às normas de trânsito pelo condutor,Colisão com objeto estático,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Retorno Regulamentado,Sim,2,0,0,1,1,0,1,2,-2.59806699,-44.24573511,SR-MA,UOP01,DEL01
